Genus Name	Species Name	Synonym	Family	Order	Class	Common Name	Species Code	Growth Form	Percent Leaf Type	Leaf Type	Growth Rate	Longevity	Height at Maturity (feet)
Abarema	cochliocarpos		Fabaceae	Fabales	Rosidae	Abarema cochliocarpos	ABCO1	Shrub or small tree	Hardwood	Evergreen			
Abarema	glauca		Fabaceae	Fabales	Rosidae	Abarema glauca	ABGL	Tree	Hardwood	Evergreen			
Abarema	langsdorfii		Fabaceae	Fabales	Rosidae	pau gamba	ABLA1	Tree	Hardwood	Evergreen			
Abelia	chinensis		Caprifoliaceae	Dipsacales	Asteridae	Abelia	ABCH	Shrub	Hardwood	Deciduous	Moderate	Short	7
Abelia	x grandiflora		Caprifoliaceae	Dipsacales	Asteridae	Glossy abelia	ABGR4	Shrub	Hardwood	Deciduous	Fast	Short	6
Abelia	triflora		Caprifoliaceae	Dipsacales	Asteridae	Indian abelia	ABTR	Shrub or small tree	Hardwood	Deciduous	Fast	Short	13
Abies	alba		Pinaceae	Pinales	Pinopsida	European silver fir	ABAL3	Tree	Picea	Evergreen			147
Abies	amabilis		Pinaceae	Pinales	Pinopsida	Pacific silver fir	ABAM	Tree	Picea	Evergreen	Slow	Long	165
Abies	balsamea	Pinus balsamea	Pinaceae	Pinales	Pinopsida	Balsam fir	ABBA	Tree	Picea	Evergreen	Slow	Short	60
Abies	x borisii-regis		Pinaceae	Pinales	Pinopsida	Bulgarian fir	ABBO	Tree	Picea	Evergreen	Slow	Long	96
Abies	bracteata	Abies venusta	Pinaceae	Pinales	Pinopsida	Bristlecone fir	ABBR	Tree	Picea	Evergreen	Slow	Long	105
Abies	cephalonica		Pinaceae	Pinales	Pinopsida	Greek Fir	ABCE	Tree	Picea	Evergreen	Moderate	Long	49
Abies	cilicica		Pinaceae	Pinales	Pinopsida	Syrian Fir	ABCI	Tree	Picea	Evergreen	Moderate	Long	35
Abies	concolor		Pinaceae	Pinales	Pinopsida	White fir	ABCO	Tree	Picea	Evergreen	Slow	Long	120
Abies	concolor v lowiana	Abies lowiana	Pinaceae	Pinales	Pinopsida	Sierra white fir	ABLO	Tree	Picea	Evergreen	Slow	Long	96
Abies	delavayi		Pinaceae	Pinales	Pinopsida	Delavay's Fir	ABDE	Tree	Picea	Evergreen	Moderate	Long	40
Abies	fargesii		Pinaceae	Pinales	Pinopsida	Farges Fir	ABFA	Tree	Picea	Evergreen	Moderate	Long	40
Abies	firma		Pinaceae	Pinales	Pinopsida	Momi Fir	ABFI	Tree	Picea	Evergreen	Moderate	Long	30
Abies	forrestii var. georgei		Pinaceae	Pinales	Pinopsida	George's Fir	ABFOGE	Tree	Picea	Evergreen	Moderate	Long	40
Abies	fraseri	Pinus fraseri	Pinaceae	Pinales	Pinopsida	Fraser fir	ABFR	Tree	Picea	Evergreen	Moderate	Moderate	55
Abies	grandis		Pinaceae	Pinales	Pinopsida	Grand fir	ABGR	Tree	Picea	Evergreen	Moderate	Long	150
Abies	holophylla		Pinaceae	Pinales	Pinopsida	Manchurian fir	ABHO	Tree	Picea	Evergreen	Slow	Long	100
Abies	homolepis		Pinaceae	Pinales	Pinopsida	Japanese fir	ABHO2	Tree	Picea	Evergreen	Slow		50
Abies	koreana		Pinaceae	Pinales	Pinopsida	Korean Fir	ABKO	Shrub or small tree	Picea	Evergreen	Fast	Moderate	9
Abies	lasiocarpa		Pinaceae	Pinales	Pinopsida	Subalpine fir	ABLA	Tree	Picea	Evergreen	Slow	Long	90
Abies	magnifica		Pinaceae	Pinales	Pinopsida	California red fir	ABMA	Tree	Picea	Evergreen	Slow	Long	150
Abies	x masjoannis		Pinaceae	Pinales	Pinopsida	Masjoannis fir	ABMA1	Tree	Picea	Evergreen	Fast	Long	100
Abies	nordmanniana		Pinaceae	Pinales	Pinopsida	Nordmann fir	ABNO	Tree	Picea	Evergreen	Slow	Long	63
Abies	numidica		Pinaceae	Pinales	Pinopsida	Algerian Fir	ABNU	Tree	Picea	Evergreen	Fast	Long	25
Abies	x phanerolepis	Abies balsamea var. phanerolepis	Pinaceae	Pinales	Pinopsida	Bracted balsam fir	ABPH	Tree	Picea	Evergreen	Slow	Long	96
Abies	pinsapo		Pinaceae	Pinales	Pinopsida	Spanish fir	ABPI	Tree	Picea	Evergreen	Slow	Long	96
Abies	procera	Abies nobilis	Pinaceae	Pinales	Pinopsida	Noble fir	ABPR	Tree	Picea	Evergreen	Fast	Long	230
Abies	religiosa		Pinaceae	Pinales	Pinopsida	Sacred fir	ABRE	Tree	Pinus	Evergreen	Moderate	Long	35
Abies	x shastensis	Abies magnifica var. shastensis	Pinaceae	Pinales	Pinopsida	Shasta red fir	ABSH	Tree	Picea	Evergreen	Slow	Long	96
Abies	veitchii		Pinaceae	Pinales	Pinopsida	Veitch's Silver Fir	ABVE	Tree	Picea	Evergreen	Fast	Short	22
Abutilon	berlandieri	Abutilon californicum	Malvaceae	Malvales	Dilleniidae	Berlandier indian mallow	ABBE	Shrub	Hardwood	Deciduous	Moderate	Short	6
Abutilon	eremitopetalum		Malvaceae	Malvales	Dilleniidae	Hiddenpetal indian mallow	ABER	Shrub	Hardwood	Deciduous	Moderate	Short	2
Abutilon	grandifolium		Malvaceae	Malvales	Dilleniidae	Hairy indian mallow	ABGR3	Shrub	Hardwood	Deciduous	Moderate	Short	7
Abutilon	megapotamicum		Malvaceae	Malvales	Dilleniidae	Abutilon megapotamicum	ABME	Shrub or small tree	Hardwood	Semi-Evergreen	Fast	Short	13
Abutilon	menziesii		Malvaceae	Malvales	Dilleniidae	Ko'oloa 'ula	ABME2	Shrub	Hardwood	Deciduous	Moderate	Short	10
Abutilon	palmeri		Malvaceae	Malvales	Dilleniidae	Palmer's indian mallow	ABPA	Shrub	Hardwood	Deciduous	Moderate	Short	6
Abutilon	sandwicense	Abutilon sandwicense var. welchii	Malvaceae	Malvales	Dilleniidae	Greenflower indian mallow	ABSA2	Shrub	Hardwood	Deciduous	Moderate	Short	8
Abutilon	virginianum	"Sida eggersii, Abutilon virginianum"	Malvaceae	Malvales	Dilleniidae	Van dyke's indian mallow	ABVI2	Tree	Hardwood	Deciduous	Moderate	Short	8
Acacia	abyssinica		Fabaceae	Fabales	Rosidae	Flat top acacia	ACAB	Tree	Hardwood	Deciduous	Fast	Moderate	55
Acacia	acradenia		Fabaceae	Fabales	Rosidae	Silky Wattle	ACAC	Tree	Hardwood	Evergreen	Slow	Moderate	8
Acacia	acuminata		Fabaceae	Fabales	Rosidae	Raspberry Jam Wattle	ACAC1	Tree	Hardwood	Evergreen	Moderate	Moderate	10
Acacia	adunca		Fabaceae	Fabales	Rosidae	Wallangara Wattle	ACAD	Tree	Hardwood	Evergreen	Moderate	Moderate	6
Acacia	albida		Fabaceae	Fabales	Rosidae	White acacia	ACAL	Tree	Hardwood	Deciduous	Fast	Moderate	87
